interface,name,lat,lon
core-87-po40,,,
core-87-po27,,,
core-87-po22,,,
core-87-po32,,,
core-87-2-17,Part of an aggregated link.,,
core-87-3-17,Part of an aggregated link.,,
core-87-2-24,part of an aggregated link,,
core-87-2-19,part of an aggregated link,,
core-87-8-2,part of an aggregated link,,
core-87-3-2,part of an aggregated link,,
core-87-8-1,part of an aggregated link,,
core-87-3-5,,,
core-87-3-24,part of an aggregated link,,
core-87-3-4,,,
core-87-3-6,,,
core-87-3-7,,,
core-87-3-21,part of an aggregated link,,
core-87-2-21,part of an aggregated link,,
core-87-3-1,part of an aggregated link,,
core-87-2-5,,,
core-87-2-7,,,
core-87-3-14,"Equad A-Wing, B-Wing, C-Wing, D-Wing, E-Wing, J-Wing, Andlinger Center contruction trailers (some portions)",,
core-87-5-20,Lawrence Apartments (Buildings 8-14),40.333529745085,-74.65687021854
core-87-4-6,"1981 Hall, Community Hall, Fischer Hall/Whitman, Hargadon Hall, Lauritzen Hall, Murley-Pivirotto Tower, South Baker Hall, Wendell Hall",40.3437931825012,-74.6578989490988
core-87-po29,"Peretsman-Scully Hall, Princeton Neuroscience Institute",40.34362963430933,-74.65327075588199
core-87-4-43,"Forbes College (Main), 99 Alexander St.",40.3421051157,-74.660797800336
core-87-5-22,Lawrence Apartments (Buildings 1-7),40.333529745085,-74.65687021854
core-87-4-13,"1967 Hall, 1976 Hall, Bogle Hall, Wilf Hall, Yoseloff Hall",40.3443070691214,-74.655615613702
core-87-po30,Firestone Library,40.349628782438,-74.65728735707
core-87-3-8,,,
core-87-8-8,Firestone Library,40.349628782438,-74.65728735707
core-87-6-21,Friend Center,40.35031032488,-74.652709813252
core-87-po5,Lewis Science Library Data Center,,
core-87-6-3,41 William St. (portions),,
core-87-2-8,,,
core-87-4-35,Scully Hall,40.343881159582,-74.65358701504701
core-87-2-4,,,
core-87-4-19,Holder Hall,40.348512301831,-74.661463913799
core-87-4-38,Little Hall,40.346499595367,-74.659714454646
core-87-3-16,"Peretsman-Scully Hall, Princeton Neuroscience Institute",40.34362963430933,-74.65327075588199
core-87-11-6,Lewis Science Library Data Center,,
core-87-11-2,Carl Icahn Lab,40.344274978939,-74.65319754248
core-87-4-31,Bloomberg Hall,40.343402427435,-74.655856380136
core-87-8-4,,,
core-87-4-37,Spelman Hall,40.34461518081,-74.65931971116
core-87-4-8,Old Graduate College,40.340711753556,-74.665245050055
core-87-4-44,Forbes College Annex,40.3421051157,-74.660797800336
core-87-2-10,,,
core-87-2-13,Frick Laboratory,40.349201686055,-74.655247212253
core-87-4-23,1903 Hall,40.346028801561,-74.657080558081
core-87-2-16,"Peretsman-Scully Hall, Princeton Neuroscience Institute",40.34362963430933,-74.65327075588199
core-87-4-10,"Blair Hall, Buyers Hall",40.347442500046,-74.661111573895
core-87-4-2,,,
core-87-4-9,New Graduate College,40.340977917952,-74.666391473257
core-87-2-9,,,
